brand,name,old_price_reais,old_price_centavos,new_price_reais,new_price_centavos,reviews_rating_number,reviews_amount
ASCENSION,Tenis Masculino E Feminino De Caminhada Ortopedico Crossfit,68,67,22,,4.7,(2153)
,Sapatilha Aquatica Neoprene Secarapido Sola Forte Confort,52,90,17,63,4.6,(751)
OLYMPIKUS,Tênis Olympikus Proof 3 Caminhada Treino Corrida Academia,199,90,33,32,4.6,(172)
OLYMPIKUS,Tênis Running Masculino Olympikus Evasense Dynamic,345,75,304,25,,
ASCENSION,Tenis Masculino Leve Confotavel Dia A Dia Para Treino,109,90,36,63,4.5,(157)
,Kit Combo 2 Tenis Masculino Academia Caminhada Corrida Top,169,90,152,91,4.6,(1689)
EVOLTENN,Kit 3 Pares Tênis Esportivo Masculino Evoltenn Style Corrida,188,90,179,45,4.4,(1568)
OLYMPIKUS,Olympikus Diffuse 5 Masculino Adultos,239,99,34,28,4.8,(335)
EVOLTENN,Kit 3 Combo Tenis Masculino Corrida Original Academia Leve,198,78,178,90,4.5,(1004)
,Kit 3 Tênis Masculino Prospect Fly Oferta Promoção + Relógio,219,90,138,53,4.3,(22)
BF SHOES,Tênis Esportivo Masculino Para Malhar Confortável Lançamento,78,90,74,20,4.5,(1870)
FILA,Fila Racer Carbon 2 Masculino Adultos,1.097,90,999,08,5.0,(3)
MIZUNO,Mizuno Wave Nirvana 9 Masculino Adultos,147,75,36,,5.0,(1)
MIZUNO,Tênis Feminino Ou Masculino Academia Promoção Pronta Entrega,98,50,32,83,4.3,(1438)
ADAPTION,Adaption Limited Masculino Adultos,72,99,7,09,4.4,(471)
ASCENSION,Tênis Esportivo Ortopédico Para Academia Treino Dia A Dia,144,90,137,65,4.4,(311)
OLYMPIKUS,Tênis Olympikus Corre Grafeno 2 Para Corrida Maratona,849,90,662,92,,
PUMA,Tênis Puma Masculino Cell Divide V2 Bdp Para Corrida,589,90,448,32,5.0,(2)
FILA,Tênis Fila Ride Masculino / Feminino - Original ,329,99,230,99,,
OLDSEN,Tenis Masculino Unissex Botinha Corrida Academia Promoção,78,90,74,95,4.5,(910)
OLIMPAK,Tênis Esportivo Masculino Olimpak Para Caminhada Academia,106,10,100,79,4.4,(3217)
,Tenis Masculino Academia Corrida Wave Force Promoção Barato,75,99,72,19,4.2,(366)
,Tênis Masculino Academia Rixxon Leve Promoção Barato ,87,90,80,86,4.4,(469)
MIZUNO,Kit Tênis Mizuno Masculino Victory Rsp + Meia Color Sports,639,90,505,52,,
,"Tenis Olympikus Proof 3 Masculino Numero 45,46,47,48",199,90,189,90,4.8,(429)
PUMA,Tênis Puma Haste Sl Bdp Masculino,569,90,429,90,,
MORMAII,Tenis Mormaii Impetus Red Storm,192,96,173,70,,
BF SHOES,Tênis Branco Lançamento Original Confortável,98,62,78,89,4.6,(7227)
,Tênis Masculino Esportivo Caminhada Academia Corrida - It,89,90,78,21,4.5,(382)
ASICS,Tênis Asics Masculino Feminino Varias Cores Do 34 Ao 43,105,99,98,57,4.1,(673)
,Tenis Feminino Masculino Olimp Academia Leve Confortável,69,99,66,49,4.4,(1074)
,Tenis Sport Titanium  Original - Esportivo,78,90,62,33,4.5,(3536)
,Tênis Masculino Olymp Olimp Space Caminhada Barato Promoção ,78,99,67,14,4.3,(2308)
ADAPTION,Kit 2 Pares De Tenis Masculino Academia Limited + Relogio,139,90,118,91,4.4,(4072)
LYND,Tênis Masculino Corrida Academia Caminhada Lynd- Grid 321,199,90,169,91,4.6,(371)
PLAZA,Kit 2 Tênis Esportivo Casual Neo Running + Relógio Digital,137,90,13,40,4.4,(39)
MIZUNO,Tenis Esportivo Exclusivo Atividade Fisica Leve Confortavel,149,90,14,57,4.6,(324)
,Tênis Cross Tryd 5400 Academia Caminhada Confortável Leve,99,99,69,99,4.5,(1578)
OLDSEN,Tênis Masculino Jaguar Oldsen Treino Corrida Promoção Top,78,97,75,02,4.4,(2878)
OLYMPIKUS,Olympikus Casual Jogging 100 Sem gênero Adultos OBTN068_1-012,173,82,16,,4.7,(2928)
OLDSEN,Tenis Masculino Casual Macio Caminhada Treino Oldsen Bmax ,78,99,75,04,4.2,(84)
OLYMPIKUS,Olympikus Jogging 100 Masculino Adultos,209,90,165,82,4.5,(80)
,Tênis Masculino Esportivo Caminhada Academia Corrida - It,89,90,78,21,4.5,(382)
,Tênis Bolsonaro : Liberdade Style Super Confortável ,169,90,33,98,4.8,(114)
WEST,Tênis Kit 2 Pares Mizwest 20 Promoção Masculino Garantia !!1,155,90,15,15,4.0,(324)
MIZUNO,Tênis Masculino Mizuno Wave Creation Original Macio Corrida,199,90,129,93,3.9,(54)
OLYMPIKUS,Tênis Masculino Olympikus Diffuse 5 Original Esportivo,299,99,254,99,4.9,(64)
ASICS,Asics Gel-Rebound Masculino Adultos,399,21,315,52,4.5,(13)
EVOLTENN,Tenis Academia Corrida Original Caminhada Evoltenn Crossfit,78,90,74,95,4.5,(3504)
OLYMPIKUS,Olympikus Casual Urbano Ast Masculino Adultos,187,17,31,,,
,Tênis New Balance 997s Original Cores Lançamento Exclusivos!,209,99,199,49,4.2,(41)
,Tênis Para Academia Treino Corrida Caminhada Original,59,90,47,32,4.6,(417)
,Kit Combo 2 Tenis Masculino P/ Treino Academia Confortável,147,90,36,98,,
,Tenis Esporte Academia Corrida Caminhada Confortável Leve,69,90,6,79,4.5,(414)
,Tênis Masculino Olymp Olimp Space Caminhada Barato Promoção,78,90,71,01,4.2,(2247)
EVOLTENN,Kit 3 Combo Tenis Masculino Corrida Treino Academia Leve,189,95,160,55,4.5,(292)
MVP FITNESS,Tênis Mvp Para Crossfit - 3x3 All Black,379,05,360,01,4.8,(123)
FILA,Fila Cage Python Masculino Adultos,199,90,19,43,4.5,(201)
T-SHOES,Tênis Extremecross Speed Trekking Trilha Ciclismo Corrida,174,49,153,55,4.5,(235)
BLACK FREE,Kit 2 Pares Tênis Black Free Evolution Masculino Promoção,219,90,31,41,4.5,(642)
PLAZA,Kit 2 Tênis Masculino Casual Esportivo Neo Running Academia,125,90,12,24,4.1,(74)
NB,Tênis Masculino New Balance 997s Sport Exclusivo Original,249,99,194,99,4.3,(19)
OLYMPIKUS,Olympikus Eros Sem gênero Adultos,179,99,36,,4.9,(47)
VANELLI,Kit 2 Pares Tênis Masculino Esportivo Leve Macio Promoção,142,90,135,75,4.6,(66)
PUMA,Puma Viz-Tech Viz Runner V2 BDP Masculino Adultos,333,22,289,06,4.7,(93)
,Tênis Masculino Esportivo Caminhada Academia Corrida,89,90,78,21,4.5,(498)
OLYMPIKUS,Tênis Olympikus Proof Masculino Original,175,55,166,77,4.6,(7)
UNDER ARMOUR,Tênis De Corrida Unissex Under Armour Charged Wing,299,99,230,99,,
,Kit 2 Tenis Masculino Esportivo Adulto Caminhada Corrida To,141,48,13,75,5.0,(4)
,Tênis Para Academia Treino Corrida Caminhada Original,59,90,47,32,4.6,(417)
UNDER ARMOUR,Tênis Under Armour Essential 2 Original Academia Masculino,262,49,199,99,4.8,(307)
ON RUNNING,Tênis On Running Cloud X 2.0,599,90,59,99,4.9,(38)
NEW BALANCE,Tênis New Balance 997s Sport Masculino Adulto - Couro,196,29,186,47,,
,Tênis Meia Masculino E Feminino Unicc Lançamento,79,90,26,63,4.7,(58)
OLYMPIKUS,Olympikus Challenger 4 Masculino Adultos,299,99,220,38,4.7,(9)
ZEUZ,Tênis Masculino Leve Esportivo Conforto Dia A Dia Elástico,89,99,30,,4.4,(5)
OLYMPIKUS,Tenis Masculino Olympikus Proof ,247,85,188,36,4.8,(261)
OLYMPIKUS,Olympikus Casual Triunfo 2 Masculino Adultos,229,99,161,50,4.8,(372)
,Kit 2 Tênis Masculino Ferrari New Caminhada Confortável Leve,339,90,173,34,5.0,(2)
EVOLTENN,Tênis Esporte Masculino Feminino Treino Academia Caminhada,78,90,62,33,4.4,(613)
MIZUNO,Mizuno Wave Dynasty 5 Masculino Adultos,307,85,286,30,4.7,(902)
CREATION,Combotênis Academia Creation 20 Combo De 3 Pares Confortável,199,90,33,32,4.1,(234)
MIZUNO,Mizuno Victory RSP Masculino Adultos,349,90,297,41,,
OLDSEN,Tênis Masculino Academia Esportivo Caminhada Academia ,78,90,69,43,4.3,(167)
,Tênis Esporte Masculino Pronta Entrega Barato,66,90,63,55,4.4,(1338)
OLYMPIKUS,Olympikus Corre Grafeno 2 Masculino Adultos,527,09,51,,4.7,(20)
RAINHA,Tênis Chuteira Futsal Futebol Salão Corrida Academia Macio,108,70,97,83,4.3,(227)
,Sapatênis Masculino Em Couro Legitimo Kit Com Relógio Tenis,149,90,77,94,4.2,(42)
,"Tenis New Luxxor Masculino Academia Caminhada Corrida,",54,90,43,37,4.2,(2538)
OLYMPIKUS,Tênis Olympikus Reverso 2 Preto - Adulto,379,99,254,59,,
OLYMPIKUS,Olympikus Difuse 2 Sem gênero Adultos,88,50,8,60,3.7,(15)
RAYCONN,Tenis 4 Molas Masculino Corrida Caminhada Running Original,186,95,166,38,4.4,(48)
,Kit Tênis De Corrida Masculino Academia Leve + Relógio,99,90,9,71,4.4,(260)
NB,Tenis Calçados Nb Promoção 997s Masculino Envio Rápido,214,90,199,85,4.5,(17)
KALLUCCI,Tênis Militar Tático Corrida Kallucci Tfm Todo Em Couro,219,90,173,72,4.6,(33)
LYND,Tênis Esportivo Masculino Corrida Caminhada- Vent 158,199,90,149,92,4.5,(112)
STARFLEX,Tênis Com Amortecedor Masculino Corrida Esportivo Flex Mola ,134,90,33,72,4.8,(18)
,Tenis Esporte Academia Corrida Caminhada Confortável Leve,69,90,6,79,4.5,(414)
PLAZA,Kit 2 Tênis Masculino Casual Esportivo Neo Running Academia,125,90,12,24,4.1,(74)
OLYMPIKUS,Tenis Masculino Olympikus Diffuse Hypersox Macio - Original,377,85,256,93,4.6,(76)
OLYMPIKUS,Tênis Olympikus Corre 3 Unissex,499,99,50,,4.9,(328)
,Tenis Menino Infantil Ad Escolar Esportivo Merks ,69,90,46,55,4.6,(126)
OVERTRAK,Tenis Sport Titanium Corrida Caminhada Esportivo,39,99,13,33,4.4,(27)
FILA,Tênis Fila Float Maxxi 2 Masculino,699,90,629,91,,
ON RUNNING,Tênis On Running Cloud Midnight,599,90,59,99,4.8,(8)
,Tenis Sport Titanium  Original - Esportivo,78,90,62,33,4.5,(3536)
,Tênis Masculino Esporte Fino Kit Carteira + Relogio Brinde,104,90,10,20,4.2,(48)
OLYMPIKUS,Tênis Olympikus Cygnus Cinza E Verde,149,90,37,48,4.8,(29)
OLDSEN,Tenis Unissex Infantil Jaguar Corrida Academia Treino 34-43,78,90,74,95,4.6,(841)
NEW BALANCE,New Balance Fresh Foam Garoe Masculino Adultos,584,40,58,,4.7,(14)
OLYMPIKUS,Olympikus Neblina Masculino Adultos,359,90,284,05,4.8,(45)
LYND,Tênis Esportivo Masculino Corrida Caminhada- Vent 424,199,90,149,92,4.4,(88)
OLYMPIKUS,Tênis Olympikus Index 3    Caminhada Academia +leve Original,219,99,189,19,,
PUMA,Tênis De Corrida Retaliate 2 Puma Tênis De Corrida,399,90,39,99,5.0,(1)
,Sapatilha Híbrida Aquática Pesca Neoprene Trilha Bike Praia,53,67,17,,4.6,(211)
STARFLEX,Tênis Com Amortecedor Masculino Corrida Esportivo Flex Mola ,134,90,33,72,4.8,(18)
SKECHERS,Skechers GORun Fast Masculino Adultos,329,90,32,99,,
OLYMPIKUS,Olympikus Perfect 3 Masculino Adultos,279,41,220,42,4.8,(230)
FILA,Tenis Fila Ride Masculino-bege/marinho,317,99,254,39,,
